,name,rating,address,delivery_provider,main_cuisine
1525,Sushi Season,3.7,"House: Kha/67, Santi Society, Gulshan- 2, Dhaka- 1212., 1212 Dhaka",platform_delivery,Japanese
2586,Nasima's Kitchen,3.7,"10/C, Flat-4/B, Diluroad, New Eskaton, 1000 Dhaka",platform_delivery,Bangladeshi
2241,Choi Jhal Dhanmondi,3.7,"House # 285 ,Diamond Hotel Building 1st floor Road 8/A, Keari plazar pasher Goli, Dhaka, 1205 Dhaka",platform_delivery,Bangladeshi
4030,New Maloncho Restora - Kalabagan,3.7,"31/2 Kalabagan(1st floor) 1st lane, Kalabagan dhaka 1205, 1205 Dhaka",platform_delivery,Bangladeshi
2001,Awesome Fuchka Bazar,3.7,"Old A - Section#12 Mirpur Cantonment Pablik School and Colleges Road, Mirpur, Dhaka-1216., 1216 Dhaka",platform_delivery,Bangladeshi
2164,Darjeeling Momo Station Bangladesh,3.7,"6/A, Road No- Avenue 02,Block-F, Section-02, Mirpur Dhaka (Besides Raja Mamar Cha), 1216 Dhaka",platform_delivery,Fast Food
2026,Radhunir Ranna,3.7,"House-918 Road-14 Adabor Mohammadpur Dhaka-1207, 1207 Dhaka",platform_delivery,Bangladeshi
2039,Charcoal,3.7,"239/1 South Pirerbag, Pabna Goli, Beside Camden Town Food Club, Kamal Soroni Road, 1216 Dhaka",platform_delivery,Fast Food
1398,Pizza Garage-Panthapath,3.7,"57/14, East Raja Bazar, Panthapath, Dhaka-1205, 1205 Dhaka",platform_delivery,Pizza
3661,Tania's Kitchen,3.6,"13a Avenue 3, House No-1, Lane No-13, Avenue-3, Block- A, Section-11, Mirpur, 1216 Dhaka",platform_delivery,Rice Dishes
1282,Iqra Thai & Chinese Restaurant,3.6,"586 Shewrapara.Rokeya Sorani.Mirpur. Dhaka 1216, 1216 Dhaka",dine_in,Chinese
3301,Charleys,3.6,"Plot #27, Road #17, Banani C/A, Dhaka 1213, Sarina Hotel Bangladesh, 1213 Dhaka",platform_delivery,Fast Food
1590,Allah'ar Daan Biryani House ,3.6,"8 no Mosjid Market, New Market Kachabazar, 1205 Dhaka",platform_delivery,Bangladeshi
2334,Mori Express By Shahjalal Snacks,3.6,"152/1 Sabamoon Tower,Green Road ,panthapoth more.Dhaka -1205, 1205 Dhaka",platform_delivery,Bangladeshi
3529,Arju Biryani and Restaurant,3.6,"11 No Commercial Plot, Khilji Road, Shyamoli, 1207 Dhaka",platform_delivery,Bangladeshi
3754,BOB-Best of Burger,3.6,"56/1/A , Monipur 60 fit road ( near by lazz pharma ), Mirpur ,Dhaka, 1216 Dhaka",platform_delivery,Fast Food
2872,King's Dine,3.6,"House-16 ,Block-A ,Avenue-1 Sec-2 Mirpur, Dhaka, 1216 Dhaka",platform_delivery,Chinese
