,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
145,4,Tawaf Mini Restaurant,Fast Food,12.0,8.0,"Dhaka, Bangladesh"
146,5,Taste of Lanka,International,19.0,1.0,"Dhaka, Bangladesh"
147,3,Bhorta Ghor- Badda,Bangladeshi,12.0,8.0,"Dhaka, Bangladesh"
148,3,Sadiq's Asian Kitchen,Bangladeshi,6.0,14.0,"Dhaka, Bangladesh"
149,5,Waffle Bee,Dessert,12.0,8.0,"House 2, Road 14, Block D, Mirpur 6., 1216 Dhaka"
150,3,Rokhsana's Cooking World,Bangladeshi,6.0,14.0,"Dhaka, Bangladesh"
151,4,Cafe Al-Bike,Fast Food,13.0,7.0,"(Close to Kalapata Restaurant) 135/5, Somaj Kallan Mor, 60 feet, 1216 Dhaka"
152,5,Prolog,Beverage,14.0,6.0,"Shop 5A-016, Level 5, Zone A, Jamuna Future Park, Pragati Shoroni, 1229 Dhaka"
153,5,Little Havana,Snacks,10.0,10.0,"Dhaka, Bangladesh"
154,3,Mori Express By Shahjalal Snacks,Bangladeshi,9.0,11.0,"152/1 Sabamoon Tower,Green Road ,panthapoth more.Dhaka -1205, 1205 Dhaka"
155,4,In Wrap - Gulshan,Fast Food,8.0,12.0,"Dhaka, Bangladesh"
156,3,Susmita's Cooking,Bangladeshi,8.0,12.0,"Dhaka, Bangladesh"
157,3,TaniaÃ¢â‚¬â„¢s Kitchen,Bangladeshi,,,
158,5,Tandra's Ranna Ghor,Snacks,8.0,12.0,"Dhaka, Bangladesh"
159,2,Italian Pizza Bar,Pizza,4.0,16.0,"House# 8, Road# 5 Prodhan shorok, Block -A, Nobodoy Housing Society Mohammadpur, Dhaka (Nobodoy Housing Society Jame Masjid), 1207 Dhaka"
160,3,Ghorwa Kitchen,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
161,5,Chinese Recipe - Bashtola Delivery (pandago),Chinese,18.0,2.0,"House: 360, 2nd floor, Near Raihan Jame Mosque, Mohila members bari, Baridhara J Block, Dhaka-1212, 1212 Dhaka"
162,4,Pizza Lover,Fast Food,15.0,5.0,"House No. 67/1, Opposite of Square Building, Gojob Nabi Road, Bil Par, Wireless, 1213 Dhaka"
163,5,Cilantro - Gulshan,Mexican,13.0,7.0,"Gulshan Centre Point,Unimart-Level-2 House# 23-26, Road#90-91 Gulshan-2, 1212 Dhaka"
164,3,Suma's Kitchen,Bangladeshi,17.0,3.0,"178 tetultola road, house 13, road 1, north badda, dhaka 1212. Shori Member Home, Tetultola Road, 1212 Dhaka"
165,3,Samia'r Heshel,Bangladeshi,13.0,7.0,"Banani DOHS - Western Road , House 31 , Flat - 6b , Opposite of Banani DOHS Community Center., 1213 Dhaka"
166,3,Shadhin Restaurant,Bangladeshi,4.0,16.0,"2/GA/1, Nabab Habibullah Road, Dhaka (Near PG Hospital), 1211 Dhaka"
167,3,Al-Modina Bangla Khabar Hotel & Restaurant,Bangladeshi,16.0,4.0,"256,DIT road, West Rampura, Dhaka 1219, 1219 Dhaka"
168,4,Metro Kitchen,Fast Food,5.0,15.0,"Dhaka, Bangladesh"
169,4,Food Burger House - Shahjadpur,Fast Food,18.0,2.0,"Ga-31 Shahjadpur Gulshan close to Cambrian College Dhaka-1212, 1212 Dhaka"
170,5,Six Season Chinese Restaurant,Chinese,8.0,12.0,"Road # 27/K, House # 1, Rupnagar, R/A More, Near (Medinet Medical Services Limited), Mirpur, 1216 Dhaka"
171,5,Sweety's Fresh Homemade Food,Snacks,16.0,4.0,"Dhaka, Bangladesh"
172,5,Bluelime,Beverage,2.0,18.0,"R955+F4,11 Rupnagar Rd, Dhaka 1216, 1216 Dhaka"
173,4,Encantos,Fast Food,1.0,19.0,"Shop no 111, level 03, Haji kujrot ali mollah super market, 1no harunabad, mirpur 12, Dhaka-1216., 1216 Dhaka"
174,4,Sakhora Pizza & Burger,Fast Food,3.0,17.0,"Z/16 Tajmahal Road, Mohammadpur, 1207 Dhaka"
175,5,Fire Club Pizza,Italian,4.0,16.0,"Dhaka, Bangladesh"
176,4,American Fried Chicken (AFC),Fast Food,13.0,7.0,"House #27, Road #08, Block #B, Section #13, (Opposite Side of 13 No Masjid Market), Mirpur, 1216 Dhaka"
177,5,Khabarer Adda,Rice Dishes,14.0,6.0,"Dhaka, Bangladesh"
178,3,Nasima's Kitchen,Bangladeshi,13.0,7.0,"10/C, Flat-4/B, Diluroad, New Eskaton, 1000 Dhaka"
179,3,Shilpa's Kitchen-Pallabi,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
180,4,Make N Take,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
181,5,Hot Pot,Snacks,11.0,9.0,"Dhaka, Bangladesh"
182,3,Ghoroa Khabar,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
183,3,Khudalagse Kitchen,Bangladeshi,19.0,1.0,"Dhaka, Bangladesh"
184,4,Narrow's Kitchen,Fast Food,8.0,12.0,"Dhaka, Bangladesh"
185,4,Ddallass,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
186,3,Abesh Hotel & Biryani House Delivery - Mirpur 2 (pandago),Bangladeshi,8.0,12.0,"House No-2, Road-2,Block- E, Section- 2, Mirpur, 1216 Dhaka"
187,3,Mahmuda Ranna Ghor - Mirpur,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
188,3,Family Kitchen,Bangladeshi,3.0,17.0,"Dhaka, Bangladesh"
189,5,Ichi,Japanese,15.0,5.0,"House-32, Rd-11, Banani Block-G, Level 2, 1213 Dhaka"
190,3,Al Madina Biryani House - Mirpur,Bangladeshi,20.0,0.0,"House - 12,Road - 1,Sheyalbari mor,Rupnagar residential,Mirpur 2 Dhaka 1216, 1216 Dhaka"
191,5,Pizza Bake,Italian,16.0,4.0,"Dhaka, Bangladesh"
192,3,Taste Hub - Mirpur,Bangladeshi,20.0,0.0,"Dhaka, Bangladesh"
193,4,Food Lover,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
194,5,Kingdom,Dessert,10.0,10.0,"Dhaka, Bangladesh"
195,3,Khana's - Rampura (Engaze AI) - pandago,Bangladeshi,11.0,9.0,"Dhaka, Bangladesh"
196,3,Sarowar Hotel,Bangladeshi,2.0,18.0,"Dhaka, Bangladesh"
197,4,Butlers Chocolate Cafe,Fast Food,20.0,0.0,"Dhaka, Bangladesh"
198,5,Lassi Villa,Beverage,10.0,10.0,"Dhaka, Bangladesh"
199,4,Pizza Town Cafe & Restaurant,Fast Food,17.0,3.0,"368/B Nazma Tower Taltola Khilgaon Dhaka-1219, 1219 Dhaka"
200,3,Allah'r Dan Fuchka House,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
